[ 2026-03-27 10:31:03 | node_10 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 10:31:03 | node_46 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:31:03 | node_28 | INFO ] 🧩 Model added for round 96 (1/8) from ['node_16']
[ 2026-03-27 10:31:03 | node_28 | INFO ] 🧩 Model added for round 96 (2/8) from ['node_9']
[ 2026-03-27 10:31:03 | node_46 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:31:03 | node_28 | INFO ] 🧩 Model added for round 96 (3/8) from ['node_23']
[ 2026-03-27 10:31:04 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-03-27 10:31:04 | node_6 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:31:04 | node_28 | INFO ] 🧩 Model added for round 96 (4/8) from ['node_17']
[ 2026-03-27 10:31:04 | node_46 | INFO ] ♻️ Proactively processing 2 early models for round 96.
[ 2026-03-27 10:31:04 | node_28 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 10:31:04 | node_25 | INFO ] 🧩 Model added for round 96 (9/9) from ['node_12']
[ 2026-03-27 10:31:04 | node_46 | INFO ] 🧩 Model added for round 96 (1/6) from ['node_29']
[ 2026-03-27 10:31:04 | node_6 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 10:31:04 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9954116344451904, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 2007192}
[ 2026-03-27 10:31:04 | node_47 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9969407916069031, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 2007192}
[ 2026-03-27 10:31:04 | node_46 | INFO ] 🧩 Model added for round 96 (2/6) from ['node_8']
[ 2026-03-27 10:31:04 | node_7 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:04 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 10:31:04 | node_46 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 10:31:04 | node_39 | INFO ] 🎉 Round 96 of 150 finished.
[ 2026-03-27 10:31:04 | node_6 | INFO ] ♻️ Proactively processing 4 early models for round 96.
