[ 2026-03-27 14:12:42 | node_47 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:42 | node_43 | INFO ] 🧩 Model added for round 149 (8/8) from ['node_41']
[ 2026-03-27 14:12:42 | node_39 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:42 | node_9 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:42 | node_42 | INFO ] 🧩 Model added for round 149 (13/13) from ['node_23']
[ 2026-03-27 14:12:42 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:43 | node_44 | INFO ] 🧩 Model added for round 149 (10/10) from ['node_41']
[ 2026-03-27 14:12:43 | node_43 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:43 | node_42 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:43 | node_43 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:43 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003693876788020134, 'test_accuracy': 0.9924426674842834, 'test_precision': 0.2768348753452301, 'test_recall': 0.6105343103408813, 'test_f1': 0.3679770827293396, 'communication_cost': 5831264}
[ 2026-03-27 14:12:44 | node_47 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:44 | node_9 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:44 | node_47 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:44 | node_42 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:44 | node_45 | INFO ] 🧩 Model added for round 149 (8/9) from ['node_41']
[ 2026-03-27 14:12:44 | node_45 | INFO ] 🧩 Model added for round 149 (9/9) from ['node_23']
[ 2026-03-27 14:12:45 | node_45 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:45 | node_44 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:45 | node_48 | INFO ] 🧩 Model added for round 149 (6/6) from ['node_41']
[ 2026-03-27 14:12:45 | node_36 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:45 | node | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:45 | node_36 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:45 | node | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:45 | node_46 | INFO ] 🧩 Model added for round 149 (9/9) from ['node_23']
[ 2026-03-27 14:12:46 | node_48 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:46 | node_45 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:46 | node_46 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:46 | node_44 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:46 | node_41 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:46 | node_48 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:46 | node_46 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:46 | node_15 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:46 | node_9 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:46 | node_15 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:46 | node_9 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:47 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.002137760864570737, 'test_accuracy': 0.9925326108932495, 'test_precision': 0.26061999797821045, 'test_recall': 0.7615894079208374, 'test_f1': 0.37852951884269714, 'communication_cost': 6560172}
[ 2026-03-27 14:12:47 | node_36 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0034346431493759155, 'test_accuracy': 0.9912722706794739, 'test_precision': 0.19577178359031677, 'test_recall': 0.5034576654434204, 'test_f1': 0.27956533432006836, 'communication_cost': 5831264}
[ 2026-03-27 14:12:47 | node | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:47 | node_36 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:47 | node_41 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:47 | node_20 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:47 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:48 | node_43 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:48 | node_43 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:48 | node_15 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0031013316474854946, 'test_accuracy': 0.9931623935699463, 'test_precision': 0.29280057549476624, 'test_recall': 0.6621982455253601, 'test_f1': 0.3943420946598053, 'communication_cost': 7289080}
[ 2026-03-27 14:12:48 | node_12 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:48 | node_15 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:48 | node_12 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:48 | node_48 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:48 | node_48 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:49 | node_26 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-27 14:12:49 | node_36 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:49 | node_36 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:49 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:49 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.002983642742037773, 'test_accuracy': 0.9924419522285461, 'test_precision': 0.2678150236606598, 'test_recall': 0.6659005880355835, 'test_f1': 0.3533432185649872, 'communication_cost': 7289080}
[ 2026-03-27 14:12:49 | node | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:49 | node | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:50 | node_20 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:50 | node_23 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-03-27 14:12:50 | node_43 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0035479210782796144, 'test_accuracy': 0.9929818511009216, 'test_precision': 0.1866944134235382, 'test_recall': 0.4987057149410248, 'test_f1': 0.24751783907413483, 'communication_cost': 5102356}
[ 2026-03-27 14:12:50 | node_43 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:50 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0038236072286963463, 'test_accuracy': 0.9926225543022156, 'test_precision': 0.2901630401611328, 'test_recall': 0.5881286859512329, 'test_f1': 0.3793417811393738, 'communication_cost': 2186724}
[ 2026-03-27 14:12:50 | node_48 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004481839016079903, 'test_accuracy': 0.9904624819755554, 'test_precision': 0.2572634220123291, 'test_recall': 0.6021157503128052, 'test_f1': 0.3555724322795868, 'communication_cost': 3644540}
[ 2026-03-27 14:12:50 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:50 | node_6 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:50 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:50 | node_48 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:50 | node_26 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004143991507589817, 'test_accuracy': 0.9903724789619446, 'test_precision': 0.20368726551532745, 'test_recall': 0.5115709900856018, 'test_f1': 0.28581503033638, 'communication_cost': 2915632}
[ 2026-03-27 14:12:50 | node_33 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:50 | node_33 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:50 | node_26 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:51 | node_23 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-03-27 14:12:51 | node_12 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:51 | node_12 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:51 | node_6 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0048235515132546425, 'test_accuracy': 0.9917228817939758, 'test_precision': 0.2555686831474304, 'test_recall': 0.5542289018630981, 'test_f1': 0.3485877215862274, 'communication_cost': 5831264}
[ 2026-03-27 14:12:51 | node_46 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:51 | node_21 | INFO ] 🤫 Gossip finished.
[ 2026-03-27 14:12:51 | node_21 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:51 | node_46 | INFO ] 🔬 Evaluating...
[ 2026-03-27 14:12:51 | node_15 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:51 | node_15 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:51 | node_48 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:51 | node_48 | INFO ] 😋 Training finished!!
[ 2026-03-27 14:12:51 | node_6 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 14:12:52 | node_33 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.004189567174762487, 'test_accuracy': 0.9918121099472046, 'test_precision': 0.2858414947986603, 'test_recall': 0.6022794246673584, 'test_f1': 0.3769453167915344, 'communication_cost': 2186724}
[ 2026-03-27 14:12:52 | node_43 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:52 | node_26 | INFO ] 🎉 Round 150 of 150 finished.
[ 2026-03-27 14:12:52 | node_26 | INFO ] 😋 Training finished!!
