[ 2026-03-28 05:00:37 | node_38 | INFO ] 🧩 Model added for round 144 (6/11) from ['node_48']
[ 2026-03-28 05:00:37 | node_10 | INFO ] 🧩 Model added for round 144 (3/6) from ['node_44']
[ 2026-03-28 05:00:37 | node_27 | INFO ] 📤 Sending model to 6 direct neighbors: ['node_4', 'node_11', 'node_13', 'node_25', 'node_35', 'node_47']
[ 2026-03-28 05:00:37 | node_41 | INFO ] 🧩 Model added for round 144 (4/9) from ['node_8']
[ 2026-03-28 05:00:37 | node_41 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:37 | node_41 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:37 | node_39 | INFO ] 🎉 Round 144 of 150 finished.
[ 2026-03-28 05:00:37 | node_39 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-28 05:00:37 | node_41 | INFO ] ✅ [FORCE] Local model added for round 144. (5/9)
[ 2026-03-28 05:00:37 | node_39 | INFO ] ♻️ Proactively processing 7 early models for round 144.
[ 2026-03-28 05:00:37 | node_39 | INFO ] 🧩 Model added for round 144 (1/12) from ['node_33']
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🧩 Model added for round 144 (2/12) from ['node_16']
[ 2026-03-28 05:00:38 | node_22 | INFO ] 📤 Sending model to 8 direct neighbors: ['node_7', 'node_16', 'node_18', 'node_19', 'node_38', 'node_29', 'node_31', 'node_42']
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🧩 Model added for round 144 (3/12) from ['node']
[ 2026-03-28 05:00:38 | node_11 | INFO ] 🧩 Model added for round 144 (6/12) from ['node_27']
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🧩 Model added for round 144 (4/12) from ['node_3']
[ 2026-03-28 05:00:38 | node_38 | INFO ] 🧩 Model added for round 144 (7/11) from ['node_42']
[ 2026-03-28 05:00:38 | node_49 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9958610534667969, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 2189664}
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🧩 Model added for round 144 (5/12) from ['node_11']
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🧩 Model added for round 144 (6/12) from ['node_25']
[ 2026-03-28 05:00:38 | node_49 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:38 | node_17 | INFO ] 🧩 Model added for round 144 (9/12) from ['node_7']
[ 2026-03-28 05:00:38 | node_14 | INFO ] 🧩 Model added for round 144 (8/9) from ['node_44']
[ 2026-03-28 05:00:38 | node_30 | INFO ] 🧩 Model added for round 144 (11/12) from ['node_29']
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🧩 Model added for round 144 (7/12) from ['node_32']
[ 2026-03-28 05:00:38 | node_43 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:38 | node_39 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-28 05:00:38 | node_43 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:38 | node_7 | INFO ] 🧩 Model added for round 144 (7/13) from ['node_22']
[ 2026-03-28 05:00:38 | node_43 | INFO ] ✅ [FORCE] Local model added for round 144. (6/10)
[ 2026-03-28 05:00:38 | node_34 | INFO ] 🧩 Model added for round 144 (3/6) from ['node_37']
[ 2026-03-28 05:00:38 | node_31 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_1', 'node_4', 'node_6', 'node_11', 'node_15', 'node_18', 'node_19', 'node_22', 'node_41', 'node_43']
[ 2026-03-28 05:00:38 | node_48 | INFO ] 🧩 Model added for round 144 (6/13) from ['node_32']
[ 2026-03-28 05:00:38 | node_48 | INFO ] 🧩 Model added for round 144 (7/13) from ['node_26']
[ 2026-03-28 05:00:38 | node_41 | INFO ] 🧩 Model added for round 144 (6/9) from ['node_48']
[ 2026-03-28 05:00:38 | node_18 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-03-28 05:00:39 | node_47 | INFO ] 🧩 Model added for round 144 (3/6) from ['node_8']
[ 2026-03-28 05:00:39 | node_1 | INFO ] 🧩 Model added for round 144 (5/7) from ['node_31']
[ 2026-03-28 05:00:39 | node_18 | INFO ] 🔬 Evaluating...
[ 2026-03-28 05:00:39 | node_6 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:39 | node_6 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:39 | node_6 | INFO ] ✅ [FORCE] Local model added for round 144. (7/9)
[ 2026-03-28 05:00:39 | node_21 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:39 | node_21 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:39 | node_21 | INFO ] ✅ [FORCE] Local model added for round 144. (8/10)
[ 2026-03-28 05:00:39 | node_38 | INFO ] 🧩 Model added for round 144 (8/11) from ['node_37']
[ 2026-03-28 05:00:39 | node_24 | INFO ] 🧩 Model added for round 144 (7/9) from ['node_42']
[ 2026-03-28 05:00:39 | node_13 | INFO ] 🧩 Model added for round 144 (3/7) from ['node_27']
[ 2026-03-28 05:00:40 | node_18 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_accuracy': 0.9963113069534302, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0, 'communication_cost': 1824720}
[ 2026-03-28 05:00:40 | node_44 | INFO ] 🧩 Model added for round 144 (6/9) from ['node_48']
[ 2026-03-28 05:00:40 | node_28 | INFO ] 📤 Sending model to 7 direct neighbors: ['node_3', 'node_7', 'node_8', 'node_12', 'node_20', 'node_23', 'node_49']
[ 2026-03-28 05:00:40 | node_18 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-28 05:00:40 | node_43 | INFO ] 🧩 Model added for round 144 (7/10) from ['node_44']
[ 2026-03-28 05:00:40 | node_38 | INFO ] 📤 Sending model to 10 direct neighbors: ['node_4', 'node_12', 'node_15', 'node_17', 'node_22', 'node_32', 'node_36', 'node_37', 'node_42', 'node_48']
[ 2026-03-28 05:00:40 | node_16 | INFO ] 🧩 Model added for round 144 (2/3) from ['node_22']
[ 2026-03-28 05:00:40 | node_6 | INFO ] 🧩 Model added for round 144 (8/9) from ['node_31']
[ 2026-03-28 05:00:40 | node_21 | INFO ] 🧩 Model added for round 144 (9/10) from ['node_7']
[ 2026-03-28 05:00:40 | node_3 | INFO ] 🧩 Model added for round 144 (9/12) from ['node_28']
[ 2026-03-28 05:00:40 | node_39 | INFO ] 🎓 Training step done.
[ 2026-03-28 05:00:40 | node_39 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-03-28 05:00:40 | node_39 | INFO ] ✅ [FORCE] Local model added for round 144. (8/12)
[ 2026-03-28 05:00:40 | node_25 | INFO ] 🧩 Model added for round 144 (4/8) from ['node_27']
