[ 2026-02-16 07:17:46 | 0.0.0.0:53307 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:46 | 0.0.0.0:34309 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:46 | 0.0.0.0:42143 | INFO ] ✅ [FORCE] Local model added for round 52. (1/8)
[ 2026-02-16 07:17:46 | 0.0.0.0:53307 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:46 | 0.0.0.0:34309 | INFO ] ✅ [FORCE] Local model added for round 52. (2/9)
[ 2026-02-16 07:17:46 | 0.0.0.0:41943 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:55601', '0.0.0.0:34309', '0.0.0.0:34167', '0.0.0.0:42143', '0.0.0.0:47147', '0.0.0.0:40213', '0.0.0.0:49329']
[ 2026-02-16 07:17:46 | 0.0.0.0:36497 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:34167', '0.0.0.0:40481', '0.0.0.0:35995', '0.0.0.0:41621', '0.0.0.0:33095', '0.0.0.0:49017', '0.0.0.0:48087', '0.0.0.0:49769']
[ 2026-02-16 07:17:47 | 0.0.0.0:34167 | INFO ] 🧩 Model added for round 52 (2/8) from ['0.0.0.0:36497']
[ 2026-02-16 07:17:47 | 0.0.0.0:49769 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:47 | 0.0.0.0:51871 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:45693', '0.0.0.0:53307', '0.0.0.0:33117', '0.0.0.0:40213', '0.0.0.0:57351']
[ 2026-02-16 07:17:47 | 0.0.0.0:49769 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:47 | 0.0.0.0:34309 | INFO ] 🧩 Model added for round 52 (3/9) from ['0.0.0.0:41943']
[ 2026-02-16 07:17:47 | 0.0.0.0:35605 | INFO ] 🧩 Model added for round 52 (2/6) from ['0.0.0.0:33095']
[ 2026-02-16 07:17:47 | 0.0.0.0:49769 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:47 | 0.0.0.0:51177 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:47 | 0.0.0.0:49769 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:47 | 0.0.0.0:51177 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:47 | 0.0.0.0:34167 | INFO ] 📤 Sending model to 7 direct neighbors: ['0.0.0.0:45693', '0.0.0.0:53307', '0.0.0.0:38225', '0.0.0.0:36497', '0.0.0.0:37247', '0.0.0.0:41943', '0.0.0.0:44727']
[ 2026-02-16 07:17:48 | 0.0.0.0:51177 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:48 | 0.0.0.0:51177 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:48 | 0.0.0.0:58041 | INFO ] 📤 Sending model to 5 direct neighbors: ['0.0.0.0:34309', '0.0.0.0:38225', '0.0.0.0:51177', '0.0.0.0:60831', '0.0.0.0:49769']
[ 2026-02-16 07:17:48 | 0.0.0.0:47837 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:48 | 0.0.0.0:47837 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:48 | 0.0.0.0:35421 | INFO ] 📤 Sending model to 9 direct neighbors: ['0.0.0.0:51177', '0.0.0.0:33117', '0.0.0.0:50951', '0.0.0.0:47767', '0.0.0.0:47147', '0.0.0.0:49017', '0.0.0.0:38033', '0.0.0.0:48087', '0.0.0.0:35605']
[ 2026-02-16 07:17:48 | 0.0.0.0:35995 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:48 | 0.0.0.0:40481 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:48 | 0.0.0.0:47837 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:48 | 0.0.0.0:35995 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:48 | 0.0.0.0:40481 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:48 | 0.0.0.0:34309 | INFO ] 🧩 Model added for round 52 (4/9) from ['0.0.0.0:58041']
[ 2026-02-16 07:17:48 | 0.0.0.0:57821 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:45693', '0.0.0.0:41621', '0.0.0.0:52503', '0.0.0.0:49329', '0.0.0.0:57351', '0.0.0.0:54817']
[ 2026-02-16 07:17:48 | 0.0.0.0:47837 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:48 | 0.0.0.0:35995 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:49 | 0.0.0.0:47837 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:49 | 0.0.0.0:47837 | INFO ] ✅ [FORCE] Local model added for round 52. (1/7)
[ 2026-02-16 07:17:49 | 0.0.0.0:40481 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:49 | 0.0.0.0:35995 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:49 | 0.0.0.0:40481 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:49 | 0.0.0.0:34167 | INFO ] 🧩 Model added for round 52 (3/8) from ['0.0.0.0:41943']
[ 2026-02-16 07:17:49 | 0.0.0.0:38225 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:49 | 0.0.0.0:38607 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:49 | 0.0.0.0:38225 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:49 | 0.0.0.0:49691 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:55601', '0.0.0.0:41621', '0.0.0.0:49017', '0.0.0.0:51341', '0.0.0.0:54817', '0.0.0.0:44363']
[ 2026-02-16 07:17:49 | 0.0.0.0:38607 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:49 | 0.0.0.0:36497 | INFO ] 🧩 Model added for round 52 (3/9) from ['0.0.0.0:34167']
[ 2026-02-16 07:17:49 | 0.0.0.0:57351 | INFO ] 🧩 Model added for round 52 (2/9) from ['0.0.0.0:51871']
[ 2026-02-16 07:17:49 | 0.0.0.0:60831 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:49 | 0.0.0.0:50951 | INFO ] 🧩 Model added for round 52 (2/9) from ['0.0.0.0:35421']
[ 2026-02-16 07:17:49 | 0.0.0.0:33095 | INFO ] 🧩 Model added for round 52 (2/8) from ['0.0.0.0:36497']
[ 2026-02-16 07:17:49 | 0.0.0.0:38225 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:49 | 0.0.0.0:41621 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:49 | 0.0.0.0:50639 | INFO ] 📤 Sending model to 4 direct neighbors: ['0.0.0.0:43721', '0.0.0.0:60831', '0.0.0.0:37247', '0.0.0.0:44363']
[ 2026-02-16 07:17:49 | 0.0.0.0:38225 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:50 | 0.0.0.0:38607 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.1794871836900711, 'test_precision': 0.044871795922517776, 'test_recall': 0.25, 'test_f1': 0.07608695328235626}
[ 2026-02-16 07:17:50 | 0.0.0.0:52503 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:50 | 0.0.0.0:60831 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:50 | 0.0.0.0:38607 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:50 | 0.0.0.0:49769 | INFO ] 🎉 Round 52 of 100 finished.
[ 2026-02-16 07:17:50 | 0.0.0.0:43835 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:35995', '0.0.0.0:33117', '0.0.0.0:41053', '0.0.0.0:47147', '0.0.0.0:38751', '0.0.0.0:44363']
[ 2026-02-16 07:17:50 | 0.0.0.0:41621 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:50 | 0.0.0.0:41053 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 07:17:50 | 0.0.0.0:49769 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 07:17:50 | 0.0.0.0:52503 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:50 | 0.0.0.0:60831 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.4000000059604645, 'test_precision': 0.20000000298023224, 'test_recall': 0.5, 'test_f1': 0.2857142984867096}
[ 2026-02-16 07:17:50 | 0.0.0.0:57351 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:55601', '0.0.0.0:51871', '0.0.0.0:34309', '0.0.0.0:38225', '0.0.0.0:47147', '0.0.0.0:57821', '0.0.0.0:41623', '0.0.0.0:48087']
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] ♻️ Proactively processing 3 early models for round 52.
[ 2026-02-16 07:17:50 | 0.0.0.0:41053 | INFO ] 🔬 Evaluating...
[ 2026-02-16 07:17:50 | 0.0.0.0:60831 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:50 | 0.0.0.0:41621 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.013513513840734959, 'test_precision': 0.0045045046135783195, 'test_recall': 0.3333333432674408, 'test_f1': 0.008888889104127884}
[ 2026-02-16 07:17:50 | 0.0.0.0:51729 | INFO ] 📤 Sending model to 6 direct neighbors: ['0.0.0.0:53307', '0.0.0.0:38225', '0.0.0.0:33117', '0.0.0.0:49329', '0.0.0.0:44727', '0.0.0.0:44363']
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🧩 Model added for round 52 (1/10) from ['0.0.0.0:47767']
[ 2026-02-16 07:17:50 | 0.0.0.0:49769 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🧩 Model added for round 52 (2/10) from ['0.0.0.0:51871']
[ 2026-02-16 07:17:50 | 0.0.0.0:41621 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:50 | 0.0.0.0:52503 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0, 'test_precision': 0.0, 'test_recall': 0.0, 'test_f1': 0.0}
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🧩 Model added for round 52 (3/10) from ['0.0.0.0:34167']
[ 2026-02-16 07:17:50 | 0.0.0.0:41053 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.013513513840734959, 'test_precision': 0.0019305020105093718, 'test_recall': 0.12355212867259979, 'test_f1': 0.0038016040343791246}
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 07:17:50 | 0.0.0.0:52503 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:50 | 0.0.0.0:41053 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 07:17:50 | 0.0.0.0:42143 | INFO ] 🧩 Model added for round 52 (2/8) from ['0.0.0.0:41943']
[ 2026-02-16 07:17:50 | 0.0.0.0:49769 | INFO ] 🎓 Training step done.
[ 2026-02-16 07:17:50 | 0.0.0.0:53307 | INFO ] 🧩 Model added for round 52 (4/10) from ['0.0.0.0:51729']
[ 2026-02-16 07:17:50 | 0.0.0.0:49769 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 07:17:50 | 0.0.0.0:50951 | INFO ] 📤 Sending model to 8 direct neighbors: ['0.0.0.0:45693', '0.0.0.0:35421', '0.0.0.0:51177', '0.0.0.0:43721', '0.0.0.0:40997', '0.0.0.0:47147', '0.0.0.0:54507', '0.0.0.0:48087']
[ 2026-02-16 07:17:50 | 0.0.0.0:49769 | INFO ] ✅ [FORCE] Local model added for round 52. (1/6)
