[ 2026-02-15 17:22:31 | 0.0.0.0:37669 | INFO ] 🔬 Evaluating...
[ 2026-02-15 17:22:31 | 0.0.0.0:36643 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 17:22:31 | 0.0.0.0:36643 | INFO ] ✅ [FORCE] Local model added for round 93. (5/12)
[ 2026-02-15 17:22:31 | 0.0.0.0:54897 | INFO ] 🧩 Model added for round 93 (5/7) from ['0.0.0.0:41105']
[ 2026-02-15 17:22:31 | 0.0.0.0:37669 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.7131033539772034, 'test_acc': 0.9318181872367859, 'test_precision': 0.745465099811554, 'test_recall': 0.7197891473770142, 'test_f1': 0.7289031744003296}
[ 2026-02-15 17:22:31 | 0.0.0.0:37669 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 17:22:31 | 0.0.0.0:36253 | INFO ] 🧩 Model added for round 93 (8/11) from ['0.0.0.0:54771']
[ 2026-02-15 17:22:31 | 0.0.0.0:33141 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:60823']
[ 2026-02-15 17:22:32 | 0.0.0.0:36253 | INFO ] 🧩 Model added for round 93 (9/11) from ['0.0.0.0:55433']
[ 2026-02-15 17:22:32 | 0.0.0.0:46831 | INFO ] 🧩 Model added for round 93 (3/8) from ['0.0.0.0:59979']
[ 2026-02-15 17:22:32 | 0.0.0.0:43967 | INFO ] 🧩 Model added for round 93 (9/12) from ['0.0.0.0:57243']
[ 2026-02-15 17:22:32 | 0.0.0.0:60909 | INFO ] 🧩 Model added for round 93 (5/7) from ['0.0.0.0:57037']
[ 2026-02-15 17:22:32 | 0.0.0.0:58189 | INFO ] 🧩 Model added for round 93 (5/9) from ['0.0.0.0:36383']
[ 2026-02-15 17:22:32 | 0.0.0.0:57243 | INFO ] 🧩 Model added for round 93 (6/8) from ['0.0.0.0:48947']
[ 2026-02-15 17:22:32 | 0.0.0.0:53195 | INFO ] 📤 Sending model to 12 direct neighbors: ['0.0.0.0:36253', '0.0.0.0:41719', '0.0.0.0:48389', '0.0.0.0:42797', '0.0.0.0:45421', '0.0.0.0:45321', '0.0.0.0:46831', '0.0.0.0:41105', '0.0.0.0:50457', '0.0.0.0:57243', '0.0.0.0:37669', '0.0.0.0:55477']
[ 2026-02-15 17:22:32 | 0.0.0.0:46071 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 17:22:33 | 0.0.0.0:50523 | INFO ] 🧩 Model added for round 93 (5/8) from ['0.0.0.0:40387']
[ 2026-02-15 17:22:33 | 0.0.0.0:59667 | INFO ] 🧩 Model added for round 93 (5/5) from ['0.0.0.0:42387']
[ 2026-02-15 17:22:33 | 0.0.0.0:43967 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:48057']
