[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | WARNING ] Force clearing aggregator state to start new round.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] ✅ [FORCE] Local model added. (1/2)
[ 2026-02-15 07:26:03 | 0.0.0.0:33489 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:03 | 0.0.0.0:46073 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:03 | 0.0.0.0:46073 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 📈 Evaluated. Results: {'test_loss': 12.443882942199707, 'test_acc': 0.8454935550689697, 'test_precision': 0.3688797950744629, 'test_recall': 0.40803250670433044, 'test_f1': 0.3816615343093872}
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🎉 Round 90 of 100 finished.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 42
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] ♻️ Proactively processing 1 early models.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🧩 Model added (2/2) from ['0.0.0.0:46073']
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🤫 Gossip finished.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 📈 Evaluated. Results: {'test_loss': 9.518257141113281, 'test_acc': 0.38869863748550415, 'test_precision': 0.21245014667510986, 'test_recall': 0.1103421151638031, 'test_f1': 0.12752996385097504}
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🎉 Round 91 of 100 finished.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 47
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:04 | 0.0.0.0:37071 | INFO ] ✅ [FORCE] Local model added. (1/2)
[ 2026-02-15 07:26:04 | 0.0.0.0:57349 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:04 | 0.0.0.0:46073 | INFO ] ✅ [FORCE] Local model added. (1/3)
[ 2026-02-15 07:26:04 | 0.0.0.0:57349 | INFO ] 🔬 Evaluating...
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 📈 Evaluated. Results: {'test_loss': 75.45135498046875, 'test_acc': 0.006493506487458944, 'test_precision': 0.031655844300985336, 'test_recall': 0.031655844300985336, 'test_f1': 0.031655844300985336}
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🎉 Round 90 of 100 finished.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] ♻️ Proactively processing 3 early models.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🎓 Training step done.
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 07:26:05 | 0.0.0.0:57349 | INFO ] ✅ [FORCE] Local model added. (1/5)
