[ 2026-02-16 03:32:45 | 0.0.0.0:39753 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.19672131538391113, 'test_precision': 0.02185792289674282, 'test_recall': 0.07771705836057663, 'test_f1': 0.034119684249162674}
[ 2026-02-16 03:32:45 | 0.0.0.0:42127 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 03:32:45 | 0.0.0.0:55193 | INFO ] ✅ [FORCE] Local model added for round 94. (1/5)
[ 2026-02-16 03:32:45 | 0.0.0.0:39753 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:45 | 0.0.0.0:42127 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:45 | 0.0.0.0:60559 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:45 | 0.0.0.0:42127 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.013215859420597553, 'test_precision': 0.001887979917228222, 'test_recall': 0.0805538073182106, 'test_f1': 0.0036894872318953276}
[ 2026-02-16 03:32:45 | 0.0.0.0:42127 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:45 | 0.0.0.0:60559 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:46 | 0.0.0.0:47871 | INFO ] 🤫 Gossip finished.
[ 2026-02-16 03:32:46 | 0.0.0.0:60559 | INFO ] ♻️ Proactively processing 1 early models for round 94.
[ 2026-02-16 03:32:46 | 0.0.0.0:60559 | INFO ] 🧩 Model added for round 94 (1/7) from ['0.0.0.0:58811']
[ 2026-02-16 03:32:46 | 0.0.0.0:50223 | INFO ] 🧩 Model added for round 93 (9/9) from ['0.0.0.0:40721']
[ 2026-02-16 03:32:46 | 0.0.0.0:60559 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:46 | 0.0.0.0:47871 | INFO ] 🔬 Evaluating...
[ 2026-02-16 03:32:46 | 0.0.0.0:47871 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.0628272220492363, 'test_precision': 0.01256544515490532, 'test_recall': 0.13403141498565674, 'test_f1': 0.022976815700531006}
[ 2026-02-16 03:32:46 | 0.0.0.0:37661 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:46 | 0.0.0.0:47871 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 03:32:46 | 0.0.0.0:50223 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 03:32:46 | 0.0.0.0:60559 | INFO ] 🎓 Training step done.
[ 2026-02-16 03:32:46 | 0.0.0.0:60559 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 03:32:46 | 0.0.0.0:41053 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:46 | 0.0.0.0:60559 | INFO ] ✅ [FORCE] Local model added for round 94. (2/7)
[ 2026-02-16 03:32:46 | 0.0.0.0:50617 | INFO ] 🎉 Round 94 of 100 finished.
[ 2026-02-16 03:32:46 | 0.0.0.0:41053 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:46 | 0.0.0.0:50617 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 03:32:46 | 0.0.0.0:33615 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 03:32:46 | 0.0.0.0:41053 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:46 | 0.0.0.0:50617 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 03:32:46 | 0.0.0.0:44981 | INFO ] 🎉 Round 94 of 100 finished.
