[ 2026-05-14 05:20:47 | node_14 | INFO ] Heartbeat timeout for node_8 (352.4144711494446). Removing...
[ 2026-05-14 05:20:47 | node_35 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-05-14 05:20:47 | node_35 | INFO ] ✅ [FORCE] Local model added for round 19. (2/2)
[ 2026-05-14 05:20:47 | node_35 | INFO ] 📤 Sending model to 1 direct neighbors: ['node_12']
[ 2026-05-14 05:20:47 | node_12 | INFO ] 🧩 Model added for round 19 (2/2) from ['node_35']
[ 2026-05-14 05:20:47 | node_32 | INFO ] Heartbeat timeout for node_46 (301.2998924255371). Removing...
[ 2026-05-14 05:20:48 | node_12 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 05:20:48 | node_12 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 05:20:48 | node_44 | INFO ] Heartbeat timeout for node_18 (301.8397567272186). Removing...
[ 2026-05-14 05:20:48 | node_44 | INFO ] Heartbeat timeout for node_25 (301.7431309223175). Removing...
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🔬 Evaluating...
[ 2026-05-14 05:20:48 | node_35 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4904792904853821, 'test_acc': 0.8999999761581421, 'test_precision': 0.912863552570343, 'test_recall': 0.9074413180351257, 'test_f1': 0.8883014917373657, 'communication_cost': 2822790}
[ 2026-05-14 05:20:48 | node_35 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🎉 Round 20 of 100 finished.
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 15
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_21 (418.8017826080322). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_15 (415.25550532341003). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_23 (386.2083070278168). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node (403.3006362915039). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_12 (387.0303359031677). Removing...
[ 2026-05-14 05:20:48 | node_35 | INFO ] 🎓 Training step done.
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_49 (386.8381588459015). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_11 (385.3501901626587). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_33 (384.6015667915344). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_25 (415.7812592983246). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_2 (356.1404321193695). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_13 (354.0645525455475). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_39 (353.72007298469543). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_35 (400.1173286437988). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_28 (378.3485713005066). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_31 (380.03446531295776). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_20 (388.2888066768646). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_5 (400.903400182724). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_29 (417.6798326969147). Removing...
[ 2026-05-14 05:20:48 | node_10 | INFO ] Heartbeat timeout for node_41 (401.8508324623108). Removing...
[ 2026-05-14 05:20:48 | node_41 | INFO ] Heartbeat timeout for node_9 (304.0356924533844). Removing...
[ 2026-05-14 05:20:48 | node_41 | INFO ] Heartbeat timeout for node_18 (302.79829120635986). Removing...
[ 2026-05-14 05:20:48 | node_41 | INFO ] Heartbeat timeout for node_36 (301.601699590683). Removing...
[ 2026-05-14 05:20:49 | node_12 | INFO ] 🤫 Gossip finished.
[ 2026-05-14 05:20:49 | node_12 | INFO ] 🔬 Evaluating...
[ 2026-05-14 05:20:49 | node_3 | INFO ] Heartbeat timeout for node_9 (304.2480103969574). Removing...
[ 2026-05-14 05:20:49 | node_3 | INFO ] Heartbeat timeout for node_18 (303.01060914993286). Removing...
[ 2026-05-14 05:20:49 | node_3 | INFO ] Heartbeat timeout for node_36 (301.814017534256). Removing...
[ 2026-05-14 05:20:49 | node_12 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.6894019246101379, 'test_acc': 0.8700000047683716, 'test_precision': 0.8749223947525024, 'test_recall': 0.8844318389892578, 'test_f1': 0.8648927211761475, 'communication_cost': 2822790}
[ 2026-05-14 05:20:49 | node_12 | INFO ] 📢 Broadcasting metrics.
[ 2026-05-14 05:20:49 | node_12 | INFO ] 🎉 Round 20 of 100 finished.
[ 2026-05-14 05:20:49 | node_12 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 24
[ 2026-05-14 05:20:49 | node_12 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_20 (379.30074286460876). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_31 (372.4339759349823). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_21 (414.04545044898987). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_15 (416.2416741847992). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_19 (422.271103143692). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_23 (374.7984299659729). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_49 (375.9645676612854). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_11 (374.11396765708923). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_10 (379.7485258579254). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_28 (413.9840295314789). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_36 (373.9751169681549). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_39 (354.7062418460846). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_2 (357.12660098075867). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_13 (355.05072140693665). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_33 (374.23892092704773). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_5 (401.88956904411316). Removing...
[ 2026-05-14 05:20:49 | node_34 | INFO ] Heartbeat timeout for node_12 (375.70406222343445). Removing...
