[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (2/10) from ['0.0.0.0:33719']
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (3/10) from ['0.0.0.0:54425']
[ 2026-02-15 22:01:41 | 0.0.0.0:45461 | INFO ] 🧩 Model added for round 93 (9/11) from ['0.0.0.0:39315']
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (4/10) from ['0.0.0.0:46191']
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (5/10) from ['0.0.0.0:38715']
[ 2026-02-15 22:01:41 | 0.0.0.0:60653 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:41 | 0.0.0.0:40143 | INFO ] 🎉 Round 93 of 100 finished.
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (6/10) from ['0.0.0.0:35401']
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🧩 Model added for round 93 (7/10) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:41 | 0.0.0.0:60653 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:41 | 0.0.0.0:40143 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-15 22:01:41 | 0.0.0.0:35165 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 22:01:41 | 0.0.0.0:55957 | INFO ] 🧩 Model added for round 93 (10/12) from ['0.0.0.0:34965']
[ 2026-02-15 22:01:42 | 0.0.0.0:60653 | INFO ] ♻️ Proactively processing 8 early models for round 93.
[ 2026-02-15 22:01:42 | 0.0.0.0:40143 | INFO ] ♻️ Proactively processing 12 early models for round 93.
[ 2026-02-15 22:01:42 | 0.0.0.0:34965 | INFO ] 🧩 Model added for round 93 (9/10) from ['0.0.0.0:51783']
[ 2026-02-15 22:01:42 | 0.0.0.0:35165 | INFO ] 🎓 Training step done.
[ 2026-02-15 22:01:42 | 0.0.0.0:60653 | INFO ] 🧩 Model added for round 93 (1/11) from ['0.0.0.0:53793']
[ 2026-02-15 22:01:42 | 0.0.0.0:40143 | INFO ] 🧩 Model added for round 93 (1/15) from ['0.0.0.0:42551']
[ 2026-02-15 22:01:42 | 0.0.0.0:35165 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 22:01:42 | 0.0.0.0:60653 | INFO ] 🧩 Model added for round 93 (2/11) from ['0.0.0.0:36829']
