[ 2026-02-16 09:31:39 | 0.0.0.0:50899 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:39 | 0.0.0.0:33389 | INFO ] 🧩 Model added for round 94 (8/8) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:39 | 0.0.0.0:50765 | INFO ] 🧩 Model added for round 94 (8/9) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:39 | 0.0.0.0:47933 | INFO ] 🧩 Model added for round 94 (5/6) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:39 | 0.0.0.0:43413 | INFO ] 🧩 Model added for round 94 (11/11) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:39 | 0.0.0.0:53423 | INFO ] 🧩 Model added for round 94 (15/16) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:39 | 0.0.0.0:37687 | INFO ] 🧩 Model added for round 94 (12/13) from ['0.0.0.0:57981']
[ 2026-02-16 09:31:39 | 0.0.0.0:33389 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:39 | 0.0.0.0:59179 | INFO ] 🧩 Model added for round 94 (8/10) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:40 | 0.0.0.0:47749 | INFO ] 🧩 Model added for round 94 (10/11) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:40 | 0.0.0.0:37353 | INFO ] 🧩 Model added for round 94 (12/13) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:40 | 0.0.0.0:43911 | INFO ] 🧩 Model added for round 94 (8/12) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:40 | 0.0.0.0:33389 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:41 | 0.0.0.0:52507 | INFO ] 🧩 Model added for round 94 (10/10) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:41 | 0.0.0.0:47749 | INFO ] 🧩 Model added for round 94 (11/11) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:41 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 94 (6/8) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:41 | 0.0.0.0:37671 | INFO ] 🧩 Model added for round 94 (11/11) from ['0.0.0.0:57981']
[ 2026-02-16 09:31:41 | 0.0.0.0:37353 | INFO ] 🧩 Model added for round 94 (13/13) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:42 | 0.0.0.0:49255 | INFO ] 📤 Sending model to 12 direct neighbors: ['0.0.0.0:46205', '0.0.0.0:37687', '0.0.0.0:40721', '0.0.0.0:55911', '0.0.0.0:57981', '0.0.0.0:39411', '0.0.0.0:37919', '0.0.0.0:59179', '0.0.0.0:33615', '0.0.0.0:48549', '0.0.0.0:43911', '0.0.0.0:58139']
[ 2026-02-16 09:31:42 | 0.0.0.0:38387 | INFO ] 🧩 Model added for round 94 (8/9) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:42 | 0.0.0.0:52507 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:42 | 0.0.0.0:46205 | INFO ] 🧩 Model added for round 94 (11/11) from ['0.0.0.0:49255']
[ 2026-02-16 09:31:42 | 0.0.0.0:47749 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:42 | 0.0.0.0:36361 | INFO ] 🧩 Model added for round 94 (9/10) from ['0.0.0.0:53423']
[ 2026-02-16 09:31:42 | 0.0.0.0:50765 | INFO ] 🧩 Model added for round 94 (9/9) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:43 | 0.0.0.0:48549 | INFO ] 🧩 Model added for round 94 (5/8) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:43 | 0.0.0.0:37671 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:43 | 0.0.0.0:50485 | INFO ] 🧩 Model added for round 94 (7/8) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:43 | 0.0.0.0:37521 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-16 09:31:43 | 0.0.0.0:46205 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:43 | 0.0.0.0:35987 | INFO ] 🧩 Model added for round 94 (7/7) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:43 | 0.0.0.0:50765 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:43 | 0.0.0.0:37521 | INFO ] 🔬 Evaluating...
[ 2026-02-16 09:31:43 | 0.0.0.0:52507 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:43 | 0.0.0.0:53423 | INFO ] 🧩 Model added for round 94 (16/16) from ['0.0.0.0:57981']
[ 2026-02-16 09:31:43 | 0.0.0.0:34015 | INFO ] 🧩 Model added for round 94 (5/6) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:43 | 0.0.0.0:37521 | INFO ] 📈 Evaluated. Results: {'test_loss': nan, 'test_acc': 0.028089888393878937, 'test_precision': 0.00561797758564353, 'test_recall': 0.14382022619247437, 'test_f1': 0.010813550092279911}
[ 2026-02-16 09:31:44 | 0.0.0.0:37521 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-16 09:31:44 | 0.0.0.0:39259 | INFO ] 🧩 Model added for round 94 (8/8) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:44 | 0.0.0.0:35987 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:44 | 0.0.0.0:47749 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:44 | 0.0.0.0:37687 | INFO ] 🧩 Model added for round 94 (13/13) from ['0.0.0.0:49255']
[ 2026-02-16 09:31:44 | 0.0.0.0:36361 | INFO ] 🧩 Model added for round 94 (10/10) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:44 | 0.0.0.0:37919 | INFO ] 🧩 Model added for round 94 (4/6) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:44 | 0.0.0.0:52201 | INFO ] 🧩 Model added for round 94 (8/8) from ['0.0.0.0:53491']
[ 2026-02-16 09:31:44 | 0.0.0.0:37671 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:45 | 0.0.0.0:43899 | INFO ] 🧩 Model added for round 94 (13/13) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:45 | 0.0.0.0:50765 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:45 | 0.0.0.0:46205 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:45 | 0.0.0.0:39259 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:45 | 0.0.0.0:33615 | INFO ] 🧩 Model added for round 94 (7/8) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:45 | 0.0.0.0:35987 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:45 | 0.0.0.0:32981 | INFO ] 🧩 Model added for round 94 (8/9) from ['0.0.0.0:46265']
[ 2026-02-16 09:31:45 | 0.0.0.0:43899 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:45 | 0.0.0.0:37521 | INFO ] 🎉 Round 95 of 100 finished.
[ 2026-02-16 09:31:45 | 0.0.0.0:37521 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-02-16 09:31:45 | 0.0.0.0:37521 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-16 09:31:45 | 0.0.0.0:36361 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:46 | 0.0.0.0:52201 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:46 | 0.0.0.0:37687 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:46 | 0.0.0.0:48549 | INFO ] 🧩 Model added for round 94 (6/8) from ['0.0.0.0:43413']
[ 2026-02-16 09:31:46 | 0.0.0.0:37521 | INFO ] 🎓 Training step done.
[ 2026-02-16 09:31:46 | 0.0.0.0:37521 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-16 09:31:46 | 0.0.0.0:37521 | INFO ] ✅ [FORCE] Local model added for round 95. (1/7)
[ 2026-02-16 09:31:46 | 0.0.0.0:39259 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:46 | 0.0.0.0:53423 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:46 | 0.0.0.0:41189 | INFO ] 🧩 Model added for round 94 (11/13) from ['0.0.0.0:43911']
[ 2026-02-16 09:31:46 | 0.0.0.0:47933 | INFO ] 🧩 Model added for round 94 (6/6) from ['0.0.0.0:37353']
[ 2026-02-16 09:31:47 | 0.0.0.0:51747 | INFO ] 🧩 Model added for round 94 (5/5) from ['0.0.0.0:57981']
[ 2026-02-16 09:31:47 | 0.0.0.0:40721 | INFO ] 🧩 Model added for round 94 (8/8) from ['0.0.0.0:49255']
[ 2026-02-16 09:31:47 | 0.0.0.0:52201 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-16 09:31:47 | 0.0.0.0:37919 | INFO ] 🧩 Model added for round 94 (5/6) from ['0.0.0.0:41189']
[ 2026-02-16 09:31:47 | 0.0.0.0:47933 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-16 09:31:47 | 0.0.0.0:34015 | INFO ] 🧩 Model added for round 94 (6/6) from ['0.0.0.0:46265']
