[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (16/49) from ['node_24']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (17/49) from ['node_20']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (18/49) from ['node_46']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (19/49) from ['node_5']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (20/49) from ['node_43']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (21/49) from ['node_49']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (22/49) from ['node_48']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (23/49) from ['node_23']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (24/49) from ['node_26']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (25/49) from ['node_35']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (26/49) from ['node_13']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (27/49) from ['node_41']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (28/49) from ['node_10']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (29/49) from ['node_6']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (30/49) from ['node_36']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (31/49) from ['node_31']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (32/49) from ['node_38']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (33/49) from ['node_47']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (34/49) from ['node_1']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (35/49) from ['node_39']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (36/49) from ['node_21']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (37/49) from ['node_4']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (38/49) from ['node_14']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (39/49) from ['node_29']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (40/49) from ['node_8']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (41/49) from ['node_7']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (42/49) from ['node_32']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (43/49) from ['node_27']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (44/49) from ['node_15']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (45/49) from ['node_9']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (46/49) from ['node_18']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (47/49) from ['node_16']
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (48/49) from ['node_44']
[ 2026-03-06 13:53:12 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.24424625933170319, 'test_acc': 0.9358974099159241, 'test_precision': 0.8333333134651184, 'test_recall': 0.8407406806945801, 'test_f1': 0.8221908211708069, 'communication_cost': 0}
[ 2026-03-06 13:53:12 | node_25 | INFO ] 🚂 Round 81: Client training...
[ 2026-03-06 13:53:12 | node | INFO ] 🧩 Model added for round 81 (49/49) from ['node_25']
[ 2026-03-06 13:53:13 | node | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.13218598067760468, 'test_acc': 0.9796609878540039, 'test_precision': 0.8727207779884338, 'test_recall': 0.9135075211524963, 'test_f1': 0.8857396841049194, 'communication_cost': 46110666}
[ 2026-03-06 13:53:13 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_34 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_37 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_19 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_40 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_34 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.3199242651462555, 'test_acc': 0.9739583134651184, 'test_precision': 0.7369528412818909, 'test_recall': 0.7266795039176941, 'test_f1': 0.7309415340423584, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_17 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_25 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.24473293125629425, 'test_acc': 0.9358974099159241, 'test_precision': 0.8333333134651184, 'test_recall': 0.8407406806945801, 'test_f1': 0.8221908211708069, 'communication_cost': 0}
[ 2026-03-06 13:53:13 | node_34 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 13:53:13 | node_30 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_25 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 13:53:13 | node_42 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_45 | INFO ] 🔬 Evaluating...
[ 2026-03-06 13:53:13 | node_22 | INFO ] 🔬 Evaluating...
