[ 2026-03-06 14:15:52 | None | INFO ] Created experiment folder: /root/p2pfl/experiments/p2pfl_MNIST_RandomIIDPartitionStrategy_FedAvg_model_build_fn_20260306_141552 and copied 99_centralized_mnist_test_verify.yaml
[ 2026-03-06 14:16:09 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2792067229747772, 'test_acc': 0.9350000023841858, 'test_precision': 0.9297959208488464, 'test_recall': 0.9305863976478577, 'test_f1': 0.9278870224952698, 'communication_cost': 3764136}
[ 2026-03-06 14:16:09 | node | INFO ] 🏁 Training Finished.
[ 2026-03-06 14:16:10 | None | INFO ] 🏁 All nodes finished training. Finalizing...
[ 2026-03-06 14:16:12 | node | INFO ] Stopping node...
[ 2026-03-06 14:16:12 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-06 14:16:12 | node | INFO ] 🛑 Stopping gossiper...
[ 2026-03-06 14:16:12 | node | INFO ] InMemoryServer stopped at node
[ 2026-03-06 14:16:12 | node_1 | INFO ] Stopping node...
[ 2026-03-06 14:16:12 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-06 14:16:12 | node_1 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-06 14:16:12 | node_1 | INFO ] InMemoryServer stopped at node_1
[ 2026-03-06 14:16:12 | node_2 | INFO ] Stopping node...
[ 2026-03-06 14:16:12 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-06 14:16:12 | node_2 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-06 14:16:12 | node_2 | INFO ] InMemoryServer stopped at node_2
[ 2026-03-06 14:16:12 | node_3 | INFO ] Stopping node...
[ 2026-03-06 14:16:12 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-06 14:16:12 | node_3 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-06 14:16:12 | node_3 | INFO ] InMemoryServer stopped at node_3
[ 2026-03-06 14:16:12 | node_4 | INFO ] Stopping node...
[ 2026-03-06 14:16:12 | ActorPool | INFO ] Shutting down pool with 1 idle actors.
[ 2026-03-06 14:16:12 | node_4 | INFO ] 🛑 Stopping gossiper...
[ 2026-03-06 14:16:12 | node_4 | INFO ] InMemoryServer stopped at node_4
[ 2026-03-06 14:16:12 | None | INFO ] 🌙 Shutting down Ray cluster...
