[ 2026-02-15 08:40:38 | 0.0.0.0:60331 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:45753', '0.0.0.0:55817']
[ 2026-02-15 08:40:39 | 0.0.0.0:60331 | INFO ] 📤 Sending model to 2 direct neighbors: ['0.0.0.0:45753', '0.0.0.0:55817']
[ 2026-02-15 08:40:39 | 0.0.0.0:55817 | INFO ] ⏹️  Gossiping exited for 10 equal rounds.
[ 2026-02-15 08:40:39 | 0.0.0.0:55817 | INFO ] 🔬 Evaluating...
[ 2026-02-15 08:40:39 | 0.0.0.0:55817 | INFO ] 📈 Evaluated. Results: {'test_loss': 3.9925615787506104, 'test_acc': 0.8700000047683716, 'test_precision': 0.8747877478599548, 'test_recall': 0.8658947944641113, 'test_f1': 0.860613226890564}
[ 2026-02-15 08:40:39 | 0.0.0.0:55817 | INFO ] 📢 Broadcasting metrics.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🎉 Round 42 of 100 finished.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 46
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | WARNING ] ⚠️ Aggregation list empty after timeout. Using local backup.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🧠 Aggregation complete. Setting new model.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🗣️ Gossiping aggregated model.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🎓 Training step done.
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] 🛠️ Calling force_add_local_model...
[ 2026-02-15 08:40:40 | 0.0.0.0:55817 | INFO ] ✅ [FORCE] Local model added. (1/7)
[ 2026-02-15 08:40:40 | 0.0.0.0:45597 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:39683', '0.0.0.0:39581', '0.0.0.0:59479']
[ 2026-02-15 08:40:40 | 0.0.0.0:45597 | INFO ] 📤 Sending model to 3 direct neighbors: ['0.0.0.0:39683', '0.0.0.0:39581', '0.0.0.0:59479']
