[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (33/49) from ['node_33']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (34/49) from ['node_34']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (35/49) from ['node_36']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (36/49) from ['node_35']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (37/49) from ['node_40']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (38/49) from ['node_46']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (39/49) from ['node_42']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (40/49) from ['node_38']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (41/49) from ['node_45']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (42/49) from ['node_39']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (43/49) from ['node_49']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (44/49) from ['node_43']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (45/49) from ['node_47']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (46/49) from ['node_48']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (47/49) from ['node_41']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (48/49) from ['node_37']
[ 2026-03-06 14:03:46 | node | INFO ] 🧩 Model added for round 81 (49/49) from ['node_44']
[ 2026-03-06 14:03:47 | node | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:47 | node | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2596209943294525, 'test_acc': 0.9377990365028381, 'test_precision': 0.749384343624115, 'test_recall': 0.7134019136428833, 'test_f1': 0.7291090488433838, 'communication_cost': 46110666}
[ 2026-03-06 14:03:47 | node_1 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:47 | node_3 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:47 | node_1 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.660611629486084, 'test_acc': 0.9476743936538696, 'test_precision': 0.8113399744033813, 'test_recall': 0.797646701335907, 'test_f1': 0.8032187819480896, 'communication_cost': 0}
[ 2026-03-06 14:03:47 | node_1 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:47 | node_9 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:47 | node_7 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:47 | node_13 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:47 | node_3 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.40476566553115845, 'test_acc': 0.9398148059844971, 'test_precision': 0.5967972874641418, 'test_recall': 0.5845511555671692, 'test_f1': 0.583497166633606, 'communication_cost': 0}
[ 2026-03-06 14:03:47 | node_3 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_19 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_20 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_9 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.11845528334379196, 'test_acc': 0.9668246507644653, 'test_precision': 0.7816942930221558, 'test_recall': 0.7771657705307007, 'test_f1': 0.7788017392158508, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_9 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_27 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_23 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_4 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_26 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_24 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_25 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_6 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_2 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_10 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_5 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_13 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.46836814284324646, 'test_acc': 0.9340659379959106, 'test_precision': 0.7991539835929871, 'test_recall': 0.7898048758506775, 'test_f1': 0.7934319376945496, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_7 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.44764381647109985, 'test_acc': 0.9285714030265808, 'test_precision': 0.704029381275177, 'test_recall': 0.6705058217048645, 'test_f1': 0.6838918328285217, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_20 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4664546847343445, 'test_acc': 0.9465240836143494, 'test_precision': 0.7766637206077576, 'test_recall': 0.7751940488815308, 'test_f1': 0.7733369469642639, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_19 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.4398210048675537, 'test_acc': 0.9326424598693848, 'test_precision': 0.7686159014701843, 'test_recall': 0.7364954352378845, 'test_f1': 0.7506161332130432, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_22 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_7 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_13 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_20 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_12 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_15 | INFO ] 🔬 Evaluating...
[ 2026-03-06 14:03:48 | node_27 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.2730350196361542, 'test_acc': 0.9620253443717957, 'test_precision': 0.7390103936195374, 'test_recall': 0.7274364233016968, 'test_f1': 0.7328355312347412, 'communication_cost': 0}
[ 2026-03-06 14:03:48 | node_19 | INFO ] 🚂 Round 82: Client training...
[ 2026-03-06 14:03:48 | node_16 | INFO ] 🔬 Evaluating...
