[ 2026-03-27 19:43:42 | node_39 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:42 | node_34 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:42 | node_39 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:42 | node_14 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:42 | node_45 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:42 | node_14 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:42 | node_39 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:42 | node_14 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:42 | node_34 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:42 | node_34 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:42 | node_31 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.003041087416931987, 'test_accuracy': 0.9907324314117432, 'test_precision': 0.22438877820968628, 'test_recall': 0.7065644264221191, 'test_f1': 0.3340175449848175, 'communication_cost': 182472}
[ 2026-03-27 19:43:42 | node_31 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:42 | node_42 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.0038110418245196342, 'test_accuracy': 0.9898326396942139, 'test_precision': 0.28350257873535156, 'test_recall': 0.6724608540534973, 'test_f1': 0.3948444426059723, 'communication_cost': 182472}
[ 2026-03-27 19:43:42 | node_34 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:42 | node_42 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:42 | node_31 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:42 | node_42 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:42 | node_31 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:42 | node_42 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:43 | node_31 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:43 | node_42 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:43 | node_41 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.00556695694103837, 'test_accuracy': 0.9883030652999878, 'test_precision': 0.12900936603546143, 'test_recall': 0.42445263266563416, 'test_f1': 0.19417060911655426, 'communication_cost': 182472}
[ 2026-03-27 19:43:43 | node_41 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:43 | node_37 | INFO ] 📈 Evaluated. Results: {'test_loss': 0.002493394073098898, 'test_accuracy': 0.9913622736930847, 'test_precision': 0.23039837181568146, 'test_recall': 0.7067002654075623, 'test_f1': 0.34498247504234314, 'communication_cost': 182472}
[ 2026-03-27 19:43:43 | node_37 | INFO ] 📢 Broadcasting metrics.
[ 2026-03-27 19:43:43 | node_41 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:43 | node_37 | INFO ] 🎉 Round 142 of 150 finished.
[ 2026-03-27 19:43:43 | node_41 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:43 | node_37 | INFO ] 🗳️ [DETERMINISTIC] Train set assigned (No Voting). Size: 50
[ 2026-03-27 19:43:43 | node_41 | INFO ] 🏋️‍♀️ Preparing training...
[ 2026-03-27 19:43:43 | node_37 | INFO ] 🏋️‍♀️ Preparing training...
